AF3_delta	AF3_theta	AF3_alpha	AF3_beta	AF3_gamma	AF4_delta	AF4_theta	AF4_alpha	AF4_beta	AF4_gamma	F3_delta	F3_theta	F3_alpha	F3_beta	F3_gamma	F4_delta	F4_theta	F4_alpha	F4_beta	F4_gamma	F7_delta	F7_theta	F7_alpha	F7_beta	F7_gamma	F8_delta	F8_theta	F8_alpha	F8_beta	F8_gamma	FC5_delta	FC5_theta	FC5_alpha	FC5_beta	FC5_gamma	FC6_delta	FC6_theta	FC6_alpha	FC6_beta	FC6_gamma	O1_delta	O1_theta	O1_alpha	O1_beta	O1_gamma	O2_delta	O2_theta	O2_alpha	O2_beta	O2_gamma	P7_delta	P7_theta	P7_alpha	P7_beta	P7_gamma	P8_delta	P8_theta	P8_alpha	P8_beta	P8_gamma	T7_delta	T7_theta	T7_alpha	T7_beta	T7_gamma	T8_delta	T8_theta	T8_alpha	T8_beta	T8_gamma
24.320438355015668	31.11047476006034	47.55261741280026	113.62786316310111	65.54276217850082	28.496180756963632	28.966800961045067	44.62679167681239	112.23470769361899	67.50975939464072	26.251946043767788	24.759043193163464	34.09784479653325	84.55197617159831	53.92732246443776	24.862216847307817	25.72248403336887	34.573013448465495	85.70650608945125	47.034516521043415	34.9311809569105	30.911064313823214	49.24962568035657	121.7955463903919	66.94005809049388	29.64688520728574	31.29459481757864	43.288975787905116	104.37715855893836	69.72525793347559	27.248212148331145	30.054047322324802	35.906950875008796	95.83851255168645	53.78310177154983	27.50056172304211	30.417041398839398	40.90330837493049	93.12605188137961	62.51570625064566	23.41336647693243	23.657309943131487	32.299043971114585	76.80743026473559	43.29414478070421	23.85724243289213	22.34961376156486	34.34810518171882	80.35751454230835	48.4960999860052	25.688552081181527	25.866575127642783	32.70886242002468	78.26040516377408	48.262642609229786	27.609308423976984	32.07489948156427	41.42994724969332	109.74880371030333	63.07274926739357	25.3489267673552	20.94855127978532	28.30648663872765	84.8891824461363	45.21882068783751	24.64354342408318	30.048235221414586	40.19082192960695	104.13147505827706	60.90775685058659
30.720701094400127	32.19832696428543	35.948424359534954	93.20882224993063	59.72765184183042	27.471644349891957	25.971221627035526	40.67956216163347	104.62452573596833	63.41456923391402	19.989674843323975	21.296333500969162	30.951635896218356	72.97590114115079	52.46512498154262	25.026213672661278	22.243334310560705	31.073570989715584	88.2723230110835	55.59692943219669	27.227979624627967	34.66097957664125	47.06604734437798	100.71589467301153	61.30783962537182	30.243452676292744	32.052914727542785	46.49236599923453	107.22528461112066	64.19073446528147	21.312570910561632	29.881650641030145	39.55273907504802	83.55117606172185	52.49789154592567	28.41126038816499	29.13714567117609	41.147527871781264	99.69043424498875	61.17064714360928	21.40509646901283	24.007808344012453	32.56497705639298	84.08563768045744	45.96161087050743	27.377123337399475	28.44068969974504	35.61166717205534	87.41956362476982	59.19880742266511	21.33856855764798	18.022956619130937	32.69232206061946	68.03563407147534	50.88799167656581	30.490289379198536	30.484666987365067	46.80256843899115	107.91065817646239	73.729773506402	20.03132498374101	26.907463762954656	31.552363082449656	80.79357714893594	51.212745068406136	28.772045986016835	30.66375757468321	40.48720589933084	86.31132784209825	60.30083018558604
26.51005309538694	31.707846370718006	38.229047344557046	92.7139959622403	62.82533043039431	22.88933935912818	33.04085487170215	43.49494364017252	102.40307892959288	76.05090534406307	17.398196623610026	24.64892695539383	33.81038677898811	74.87888642971492	61.48108260100368	23.319475185168514	30.048858851053417	38.03405075588632	88.35774841784871	66.57348892072142	28.508169529357577	32.800578130675355	45.32933765689354	105.27337213868718	54.79445426936777	30.124094452747116	38.98863053722589	46.777397277792865	112.13588256645947	77.84116822152612	24.729998724063236	26.34176294604066	33.09008952655165	79.25080047316213	47.0847908737353	28.251372175005578	35.87108970167138	44.05771200279053	101.41086556366633	74.86448187908886	19.32374599049198	20.449915615927313	32.09205259916149	74.55273667534065	46.44618344345353	20.855004546834653	27.075338901116417	35.37329681547523	91.0990595104376	51.07272951205528	11.777570389344266	24.33643496510856	33.33358431185473	74.02281944381798	33.70074366097767	23.22578412873979	35.175269527226085	45.08835475445535	116.3157183471431	75.55524112131043	22.661783388849294	25.978047019502238	37.04857857706463	82.6037999921949	54.56493473106528	27.568789194332084	35.52016240499889	43.711131456713446	100.48246718887347	72.08651104772689
27.418653196281728	30.913103055844942	35.26206542383159	86.44474619648167	64.48061009814414	28.88874003224736	30.037070106639682	39.69104722672576	93.0073533924661	64.80364611496256	24.74562984768051	19.602249946053014	29.46243928945062	79.74748270926439	55.070200890801274	26.450522950586663	28.32184780953845	30.71680589351154	90.13997569023901	55.751717286570475	29.90158905774123	34.91898553298493	46.28331103941006	109.30150177854378	68.76367718153605	29.7903647412042	38.00806763776775	49.80460887890712	113.6883261177419	58.97959848564024	29.264628166432033	28.153386781530735	40.96106228867361	73.94577594843582	55.242001354328664	28.139742662395847	34.512757513737625	43.601277560088995	108.12887915858043	57.1373575611174	20.608440467609682	25.022615423875884	35.74750823065621	84.52802071000582	60.545309166990606	27.755883735460124	31.832501387506376	37.563764194544476	92.18910335839213	61.464591617259664	23.274803162120442	23.30047677707252	36.13268106794061	81.86061060104139	50.20776953549105	29.370330773572036	34.491785296960956	42.27465157746998	116.29832065451077	67.8214330340596	22.84190857751986	25.221503437024843	34.1686132907649	66.33403341250053	49.55496757231105	29.49886978694816	34.51236857084852	42.41641958530261	111.39390844337684	54.338636972129684
29.61450091448291	34.310545919459535	52.97952140381708	112.90182660443166	65.31855007365405	25.035026016597353	32.33627869480329	42.06872271364132	102.50770737557953	64.17552246670684	25.649857153319438	28.21076820196001	35.8739225101451	79.2175671475893	49.006421980583376	23.673387710320934	29.028835952253786	31.637171782906687	82.1516822491167	48.73515837364018	23.585888375048505	37.28480290956048	54.38034650879846	117.2341783666091	70.1603907569385	27.21501570755574	34.41229133266977	50.33973969779966	109.86359334736751	62.72345171300963	23.884235821932364	29.9521192109899	41.844936248434756	104.12734437817608	63.04589585255845	25.493196535142452	30.28893341367641	47.2103009587678	99.93380813464881	51.36124019120486	24.643898068385713	27.761527255077745	38.9393746463055	84.68425228509301	52.374506746188565	27.726915045921984	29.500391745438378	44.99218238366798	92.24274475783382	61.60379106182617	23.96935645371731	21.514870750575316	38.389726844388804	76.93102288788559	44.09803995522558	27.063533315198164	33.05287080628223	47.90087039180289	107.43776527556051	60.839898543813334	21.689085714175125	26.359887610233656	35.75391330337472	88.1688212550806	56.499520974493535	24.51319077145326	34.077591872251894	50.59759795967481	104.74815314742831	51.467930027660024
30.605284422947356	27.760877428200615	37.73181624849784	91.46163096236856	51.62859984286289	22.342160209584293	25.79085912968391	33.825065089287136	88.78736914140902	58.736946983371986	19.44452862003633	22.288732654185146	28.781936084152985	71.60241731746788	54.61548666774024	22.67231424461647	18.187088063153233	31.028318802233827	68.22959908172422	55.71837240817648	25.291259499834318	25.656500809992085	37.73994884175967	79.09898625418752	59.65226345306379	30.33269321671589	30.024988238294522	38.219527279836434	93.65016305648774	67.0970744294662	18.96450562236457	26.49631255311315	26.90796307945003	61.09399742424474	51.94962847940982	21.178686576279624	20.10789966797428	34.46735262030171	87.91913765773822	61.59315446286828	23.67256383004442	24.274277510653853	30.132878965659554	72.52100417550879	51.7849974906854	23.208843922431804	29.521785446061322	37.76219083873785	84.21968693533518	57.11864957620978	19.121885722710353	22.237351296203013	30.31580768890777	68.46090881115059	48.59738549896721	24.118488984172757	24.814887970164754	43.08686971395372	103.25675266578348	73.05011311502896	19.238408782079503	27.89389041977983	34.0491206104319	78.94671353299077	55.7700042050649	23.91539550297605	19.465214797727647	38.09875700155689	85.48752377026067	65.52851914588476
26.136220755954717	29.915982523025193	38.81884183283554	103.81247614189859	60.49325417955384	22.74550832493813	26.2531929730955	46.19062434772599	103.71451010937966	66.63665085407827	26.728116585484436	27.465271696393323	35.00665353187162	91.35221639147888	63.051671934767	23.758126411055855	28.355369550396105	37.483085993675715	78.53718051659699	59.558802149583634	23.566542331984	28.48888719567969	44.93234728628878	100.91847896715639	69.93998743931535	32.31042841462465	40.456676996852416	55.09103673982137	108.76586520590139	73.32564118590342	22.77102570318114	27.71442651566444	38.39214402253483	89.38623223517307	56.676094117456756	27.71161846979416	31.621407473279476	49.61487356570628	97.2330105440045	64.93144320989668	24.8347145508804	25.469516108095316	24.3516319276527	62.747953469071476	55.14972826214216	27.110943661840118	25.62252853313504	37.456842440240706	71.62932682581274	61.179506762809815	25.31965416950151	24.815619322540975	29.731992749167045	60.810940902251296	41.23702221395618	28.331893081375043	34.7498992092893	48.46062247408242	105.41163903310907	71.60822832249477	25.412612277061747	26.465254786624612	36.951492996309554	83.62420859375734	52.409537678365474	26.661620835228334	33.41731211137115	49.036715232043164	96.91628961947853	65.04004313041051
33.81762318489139	33.614070411440665	41.678524634943365	93.73518603409393	62.71861945297724	23.755113985141374	29.64150340917186	43.16714051565881	111.15960870954397	64.79369236554987	18.38420450551527	22.536482903907682	33.40864813034002	85.02949262524221	50.70545382152419	22.237216198023525	26.398183684297933	37.56647215188511	88.16698056359638	49.341195190625164	42.03975327374091	51.101743495671634	67.71471688331333	170.03588372753012	108.64171503113545	30.802121596501667	39.99686605763588	55.300294607537474	119.52430856941463	79.62830956114631	25.252380537306927	29.619752040168084	39.65629530481969	82.47276989380079	57.503011539237555	26.562696887544252	35.192912635041104	46.00565435709721	108.514178247708	56.386162395542016	21.02923224548381	21.921859868653357	34.29415341212171	86.04095046751007	56.282158337618945	25.687612017993104	22.149418900763365	39.010987557064965	91.47099003275508	57.64858259535966	19.85216662893516	20.27410428019953	34.746577922433836	85.935063446418	43.72825124305871	29.339383532321833	35.31812558955073	47.113138805756435	122.39487464690836	64.18150137271314	25.487272857335576	29.021071823319406	33.03131566137124	76.14084464883163	56.64299917597261	28.19180319204458	34.177689647997916	37.82544035865779	109.51170356635699	57.10500659238019
27.68208366717095	28.67193941212163	36.74599172950655	87.1972617735954	48.564792047578244	23.140579512143027	23.891716357630646	38.8845841410415	92.77898317392601	60.22602046858616	25.240364826054055	23.695506991019613	30.926524710509298	73.81981141206445	46.47711815208381	20.161749499303806	23.194875775362114	32.527232728603295	74.02519234410848	51.786223649568356	42.029467137266785	49.50243292471436	67.11526112953696	156.9806532521584	86.18231987122525	28.414993922965976	29.74017517417121	40.26756575499194	100.43514884567504	61.38585771765059	27.35707867874758	30.27839785729863	35.93564168855515	80.1344860981768	51.14909722023167	18.326713940524154	25.658270586168097	37.35031048188868	83.75653679971192	58.45589778212433	28.006306981963746	29.78990699782572	36.07177441448125	81.30715346511589	49.99822744959094	20.65300698175404	25.905140040392446	24.794547433573257	83.88854809649452	60.05070415963484	23.43911957494293	27.538271742200543	23.18135232121996	73.27622955910972	46.360298531192605	25.957305846482853	30.723293105822744	37.62015815599281	97.70932490534884	74.95646261348904	24.272360327727544	25.747911614418783	22.83457229572943	76.40009536712871	45.55240771512435	23.07405633617327	26.454526491599694	33.510071512427636	89.70917506981776	59.96258790502189
33.31172758278428	34.161093042420646	43.77000790997694	90.4905432984819	58.96741500042753	20.792711597306116	30.802215887325236	40.25149199077032	97.83504970861173	62.28618094567579	18.27710315931814	23.908009529786007	31.675514975217965	74.28320239256975	46.287096463099346	21.334359424340768	30.71252464522087	38.233044983362404	81.15954477986517	50.48773172657431	31.712298151348875	36.494792914675514	49.09477726237468	108.57204292599462	61.00906715845736	28.595652048470583	38.40716059511807	55.52671676258612	116.2100944076928	76.54981334902213	19.528481398647074	27.76465393455122	32.88877939302994	89.00668935010079	44.3494691410797	24.546417602554065	36.96148634328533	48.91177066790945	99.47739283178329	67.40711259211236	21.161767115903682	28.239937196240728	30.116567108909656	84.19055762161229	55.27357599098519	24.18387886612347	30.728215434661173	32.187658795274494	95.25987011541946	57.647745423027054	21.141833966837744	22.53442885648883	27.10052945346144	66.28780165192184	45.729666803742575	24.263620325602023	36.65164082633482	45.01697806502528	117.2443087984529	75.58557858211748	20.86959957007268	25.599968885438354	35.39224851012678	80.2711539287553	50.5063907719252	24.58601458905921	36.68157123647893	48.70536296624814	107.36509984688146	67.45721921728351
