MATB
Condition, Trial 1, Trial 2
Low, 69.92200163888889, 68.73419080555556
Moderate
High



RanTask
Condition, Trial 1, Trial 2
Low, -0.8571428571428571, -2.9444444444444446
Moderate
High
