008-MATB,,,,,,,,
,,,Condition / Trial,,,,,
,Calibration Raw,Calibration Adjusted,Condition 1 - Trial 1,Condition 1 - Trial 2,Condition 2 - Trial 1,Condition 2 - Trial 2,Condition 3 - Trial 1,Condition 3 - Trial 2
Mental ,5,0.333333333333333,13,13,17,14,,
Physical,0,0,2,6,4,6,,
Temporal,4,0.266666666666667,11,11,14,13,,
Performance,3,0.2,7,6,10,10,,
Effort,2,0.133333333333333,17,16,13,13,,
Frustration,1,0.0666666666666667,7,10,15,12,,
Total,15,1,57,56.3333333333333,70.6666666666667,63.3333333333333,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
