AF3_delta	AF3_theta	AF3_alpha	AF3_beta	AF3_gamma	AF4_delta	AF4_theta	AF4_alpha	AF4_beta	AF4_gamma	F3_delta	F3_theta	F3_alpha	F3_beta	F3_gamma	F4_delta	F4_theta	F4_alpha	F4_beta	F4_gamma	F7_delta	F7_theta	F7_alpha	F7_beta	F7_gamma	F8_delta	F8_theta	F8_alpha	F8_beta	F8_gamma	FC5_delta	FC5_theta	FC5_alpha	FC5_beta	FC5_gamma	FC6_delta	FC6_theta	FC6_alpha	FC6_beta	FC6_gamma	O1_delta	O1_theta	O1_alpha	O1_beta	O1_gamma	O2_delta	O2_theta	O2_alpha	O2_beta	O2_gamma	P7_delta	P7_theta	P7_alpha	P7_beta	P7_gamma	P8_delta	P8_theta	P8_alpha	P8_beta	P8_gamma	T7_delta	T7_theta	T7_alpha	T7_beta	T7_gamma	T8_delta	T8_theta	T8_alpha	T8_beta	T8_gamma
19.224296710490496	22.807672164410125	35.609995977998295	89.21779970498056	36.61090090940308	16.699768399066212	20.472909399537077	35.81633230931149	84.79234550850504	37.41468807204848	22.657384654948736	21.513310377201737	29.47256775446905	71.6637234475742	37.61182247369418	23.027351277230647	24.83391684072598	40.91888128242301	99.63764741269891	54.45390289692816	14.463648997407807	25.943167114339992	35.11076598344414	85.99106368295784	52.728499881969256	18.11782163685193	25.22716524977357	41.08694690833944	105.65634389494176	56.57301121801542	20.570184550550266	22.99056897039644	35.59558760706354	81.73586083726599	41.55944625267189	18.858514971918304	23.235061014405478	37.927121205865745	97.35760458308816	51.3038037696175	22.783130162918546	25.39184679872554	33.59146444563521	84.709382822284	43.129338078931866	26.01077621414615	24.066319964023517	34.942708267076824	86.45758879949906	53.757591796208466	20.113487168997224	25.928709505088023	32.53029576940263	67.83593960253347	41.9017522760921	31.251123307809728	36.52267583922279	45.542771506073834	100.91728209895324	66.17424099268801	21.227284331768004	20.88319842981107	36.477236367935504	76.30802780120604	52.42119238126844	19.68903196239144	20.722445109177436	34.897500122275055	79.43421090568887	53.287083626820696
22.10145389889703	22.249993317813875	31.378237034612695	75.24369595799725	47.565008123877035	21.91589086220079	22.180790600354996	34.1843607503561	75.06367589219224	50.82991498751612	22.40789292831869	16.84276338876787	32.12535001141938	80.68688227091974	44.225474357799314	28.14402747820381	28.409004565172722	44.727573596946705	98.27124439225936	54.074804221534244	23.063468281619322	27.816723356644527	38.76070574964538	85.01203679617403	61.70299450691377	22.468866510377133	22.760529518443334	34.910885182346576	94.61028109917761	61.56676763880206	15.473313388195022	21.62717527451323	36.40771892098154	87.46873950447333	54.54125728003429	21.29683634911022	20.768997529450935	31.018075010860763	81.22743487313087	52.418051493703864	22.158377321387455	20.907260148091773	32.71361997347533	65.50773448426916	40.44854549759546	21.364983605567076	20.171202887957982	26.835520641936768	66.65705970399418	43.58551605289032	20.34498171867565	21.517052343686643	31.86259578928523	73.87721646269057	45.93225778271979	25.906915859781797	25.238526276240755	36.657223155902244	70.83302084998724	53.4767501822482	18.817388260393002	25.09103968021506	37.36510413696286	80.39250390157068	45.996383584108095	22.320019847813004	17.572125279609974	31.526106935914584	80.6981908272731	43.96663452991079
20.388059153170655	22.314161535817206	35.94519205949477	77.64271211225636	46.781101541054696	17.097531671159512	24.95211430534435	35.840872992595834	67.00028989674942	45.03965697899562	16.25050507141855	21.17454120698791	30.845504483304687	68.83234650317937	37.951488490418406	24.76203583782553	25.106009937782247	36.96360543339584	76.52876702567089	45.54519583044977	24.61456464596389	26.802840072425717	31.924602208588446	87.19487463406968	51.718170028235086	12.041600882164477	20.320587310309758	37.94266065513369	86.0626871577194	53.5445473780249	17.20773907937667	23.667540844162403	36.75332801861428	74.66678027838056	42.80867711395169	20.210844090666384	19.13547518525966	34.22963659587898	73.93642413682095	44.00488301315769	21.936069466599786	20.98160569532385	30.573742392659174	56.4022749844916	43.80458968775357	19.552350165132008	23.716993615012257	27.2813468828057	69.74096385476	44.651205589801684	15.52491219299343	20.91252018548585	25.68232435652704	70.04895910697356	45.79559976913636	20.750741873143138	25.639617566090454	32.342841167566775	67.10805247016056	48.47308907548476	19.735637108778462	16.333434613414923	32.211596172950486	75.394981101539	39.90683188046926	19.8084961066188	15.724884581441122	29.510785353066915	72.29324805932201	41.39315700114403
26.782769474656266	22.74643099202942	32.50705548554199	85.62231217656222	48.273953682659936	19.87420299591057	23.103684553112096	33.70362168557642	81.3767270997129	48.667524027946314	20.977524244411946	22.473143837548644	28.14896225655248	77.49515030679997	47.39132906053452	21.14496552694422	26.043030199622095	37.47472494039337	88.4391131941204	51.6015743652651	21.569019141026722	20.9175201832032	40.004270222281	93.76591331275891	56.39258392332744	23.692113900213457	20.545389129381647	38.57613136183406	86.31516746032347	63.40786319208977	21.844615955201238	19.948929199804784	35.52341798689814	78.02889834826307	49.184300448012614	20.820098288020603	23.074990515379717	37.043017647132345	81.81328219195821	58.715481826442634	23.242549654747517	22.265278271794585	31.13706544115603	72.82401478698362	42.955403521281546	20.808280308430433	21.65149991735566	29.442948009424896	73.56207016052758	42.9155729304807	17.265873192616503	22.03383911987086	34.152755703197165	55.33435125904873	45.69249806705864	24.94001647565024	19.91666237809165	28.88275626622619	67.1381831180231	53.11509119185856	20.496341218849636	23.372528469027586	39.30297936256217	78.4160488463469	49.90297680491153	19.984269671159666	18.080470297216475	29.482779355929893	63.46787353944906	50.322163755653634
22.186664716402543	30.92363269673401	39.52324789512606	81.85933331014795	60.84618012853653	14.87394641012578	26.373522601469233	34.23106555243228	82.01042148763102	62.71715400878359	20.92414225373372	25.28532410827024	28.91743808227721	72.89284355186189	59.1400811766074	22.38044781467462	22.45696757163097	35.50676884681942	86.97666403414111	70.94449128312257	22.07195594583615	33.116854860428006	47.50760155202926	95.04667472494623	61.944506523360445	22.432519857775738	31.168187048733465	40.8415275144645	95.13672381440516	67.74314458145841	19.845207104574953	26.98235680225746	37.41434689159725	74.07673237992564	53.90967276293731	19.679641426801474	25.459645956243236	24.13436776886203	92.15333753015686	70.79006113027668	18.203640380547455	24.245030033214586	37.20237398899006	83.24885282331647	49.763679674640535	13.574027870397758	24.560464581879565	40.96228551266245	83.88138692179432	63.88732873870679	18.91482062841003	24.190253778012913	28.509778118508695	81.67220458323925	47.72718596480412	21.31778199699947	19.331062175605958	32.92476791420555	85.5295382699949	61.71958085229529	22.506719409292707	24.897088316062383	33.09287956529239	73.36405268652138	58.50060906571064	18.509006758393205	6.47101866849967	28.410673674137065	82.76018264980127	61.036372355360456
26.005754115354083	25.117803617350976	37.79976248305704	74.00701247839157	46.303740215323735	24.087756881906607	27.787550216379675	33.87594461840693	78.2211257181149	53.10958176229923	20.155332395976586	19.780866573878004	27.712161873442525	68.05726536093981	43.91585965438607	30.336491880745342	31.54061754939332	38.94400849104436	80.5725921168411	52.92425935258939	26.468209627010616	30.885714028259777	44.610130584580375	95.67488552453132	56.47240030563269	25.85973152281546	33.329887059046186	43.26630802041622	95.75736470217562	58.8199723384119	21.371747998383714	24.70330481067628	37.65900195412646	54.790420290383864	46.29053112663433	23.810226679335884	28.501378157980465	33.72544250324403	79.8206824882944	54.145647070628485	23.154188720271915	27.00194052035759	35.251434085037204	77.9200055801551	43.71323357673317	19.880296062853674	26.032174647916296	34.12857970412148	74.14440370177921	45.3038583270888	23.561629440617242	23.304241813671553	32.53387909474672	77.87678700305088	41.880602878025385	23.094670007656795	25.498563179189517	33.01098004165205	69.23374881901866	51.12131526145075	21.68181545808327	19.491000172256783	35.766231674866305	80.96293130837458	51.6892249615707	21.89622556884674	24.077685307740293	29.193983587854994	56.20199420267626	44.76875948960369
23.001214110014452	26.734663241398557	31.598779701192235	67.19536244940683	50.97126059563568	16.88893130419123	26.030995519235756	32.391665393867235	73.35231049804342	40.421525605421834	18.83784055195558	22.151105576455095	24.601764834436658	62.80804852733925	52.50863134674319	20.958044393420217	28.585213282510914	31.778623612433464	66.56982191024065	52.7735015987924	18.28142734843369	26.890987871864816	32.96074223562488	87.04790977432401	54.3488433234731	21.58109124200544	27.56875406348561	28.066546157716097	79.38057696717125	63.67019430720199	14.215309081325405	26.175549827433798	33.214461919575264	74.16519305184234	49.442779345301915	19.14353274492528	26.652758325815505	30.84339892128773	67.29795824336817	60.323819355940444	16.736003301764658	21.70794397475639	31.371261678423668	68.06080184704679	43.080636821504086	15.983489566739632	16.333367091105355	35.469764075679855	78.40139582422333	49.696089485757696	15.243138028360335	15.613915686973922	31.343032763048118	74.94443411038957	36.60798153437276	16.38054480024506	17.769667604124034	37.74463228922968	68.37042298369849	58.714459286238835	17.71849239540036	19.511030540232913	36.00065869067679	69.1188549835085	42.30378849089925	17.494056537858263	21.684457359066556	30.21089623964689	64.00421062735198	55.37286620496361
18.730804658460357	22.53770514672275	34.850602315426485	76.57016594871912	37.48212558865458	19.762400458623905	19.479237969453067	34.05268231189564	69.81662331807367	50.70025307300059	14.224210313007866	26.221701727797793	33.14910440921405	63.86374800970332	42.10546543079159	22.46773838711258	24.536322301406486	35.99673050013087	82.28292880659058	56.07324145341108	18.56274499203585	26.461098847207396	34.33002177067812	80.88756719855671	55.94331929699825	18.429458494261098	26.392954606972353	40.47298030915831	82.2733269636478	57.68916849362925	20.311214483254872	25.829009507841057	33.37363379403163	76.22383125449237	49.85492651781707	20.079108193290306	24.174885680589075	32.64730226241703	80.59128490207242	54.68508719785012	17.010608141216366	24.887709535577454	37.48108663129359	81.2728196333093	51.65570662758439	18.05053222263919	28.56058659377362	37.07217059048477	72.96288819091365	55.73335275743373	18.823767852667665	26.68514028682812	30.634262131828006	71.15935396095041	50.855815463095766	19.52191106132793	25.483139551420724	36.5024488194024	76.07589125310848	58.51624185405972	20.84301288467753	19.43993141894979	34.16901516856302	66.96784470541978	48.63077477702023	16.796931672286657	22.449726938142405	33.08418062579953	71.06576439189139	53.77493161979931
25.186871908066067	22.874492305712092	24.77067713235235	71.9909627682273	52.690493897284526	23.190354662890712	20.731217996838463	30.11064091482645	78.40478550946924	50.83816360447119	22.178163223418718	16.021455497336344	23.523790190373553	65.59059061757725	41.9869548504154	28.213108094166163	31.835302331602318	33.125081342733374	84.03609294037116	59.80518711253305	20.312574899923828	20.373651627247195	34.42107643647436	92.51139353166738	55.441409312977626	22.993155042212763	24.56435923371093	38.69356730131274	92.33813111681391	64.37434943508495	19.350813853047754	22.562316042900108	31.591604791218337	77.09063222006475	49.29013324424156	22.75821841228484	23.937156328725187	35.22004593728497	78.75938423477257	62.63166395009264	21.49951120255694	24.19060708274667	35.38040865877677	74.86332773094745	43.64380669135573	22.877271243182108	22.007893729558887	31.44258727495286	77.1434542973033	51.556112835013124	18.96807728230848	24.116550243906193	37.674513942495956	67.1272223343181	46.90802822171354	19.88987005620114	23.734012173194944	28.712237689162848	83.16764064925432	60.84430899492682	21.69440596803598	24.151006006533038	39.67766324134529	82.24677735313792	45.65731590555531	20.046008972994322	20.069688364954104	31.104304309364064	70.49422908013048	53.49980042955264
21.43732970649264	30.926285531703087	39.09862991043094	93.85068844873915	46.88326058840975	22.214475475875837	31.102568970880366	36.44371587644155	90.12826979971308	46.01775485905066	18.921889773557876	24.679066015623114	26.353069699643576	68.27243278516961	47.95228283768152	26.79866681432808	29.0684906204734	37.41315598710003	76.7341392086904	44.717486579316656	23.164051909591866	35.90930051834336	46.78150587242472	110.09758637445029	58.95459551942171	21.56563867810322	32.30218004655711	43.52920031065324	96.97811845795141	51.920189317216106	17.7591119746973	30.157459195408606	38.777454834932335	86.72857439988718	50.59343950730259	18.10968643223709	28.091383463144073	33.24189762057023	79.65924586073942	49.984536380259186	20.116861631910325	20.804962152958467	38.284393008323235	83.80381237485989	51.05918279096394	20.004072255988028	15.851589357203844	36.52525861636013	73.30389922600347	45.46896391298144	18.012040874023505	16.36706599231598	34.94488493143426	74.5959451636466	50.22595485088662	21.99377361522314	22.266290952226033	33.035560167145924	82.307152926539	52.361761168542735	18.790513505142158	25.405260663925517	39.22713427433506	75.86226550381126	48.567224791729615	15.972539180201693	17.499440789778664	27.77747382346656	62.88543706772506	40.0993072372542
