Expected: 2, 0, 3
13:36:07.382
13:40:13.413:   [0, 48, 3],1, 0
13:40:15.413:   [0, 49, 3],1, 0
13:40:17.413:   [0, 49, 4],2, 0
13:40:19.413:   [1, 49, 4],0, 0
13:40:20.767:   High
13:40:21.414:   [1, 49, 0],2, -1
13:40:23.414:   [1, 49, 1],2, 0
13:40:25.414:   [1, 49, 2],2, 0
13:40:26.519:   Low
13:40:27.414:   [0, 49, 2],0, 1
13:40:29.414:   [1, 49, 2],0, 0
13:40:31.414:   [1, 50, 2],1, 0
13:40:32.607:   Low
13:40:33.414:   [0, 50, 2],0, 1
13:40:35.414:   [1, 50, 2],0, 0
13:40:37.414:   [1, 51, 2],1, 0
13:40:39.415:   [1, 52, 2],1, 0
13:40:40.615:   Low
13:40:41.415:   [0, 52, 2],0, 1
13:40:42.607:   High
13:40:43.415:   [0, 52, 0],2, 1
13:40:45.415:   [0, 52, 1],2, 0
13:40:47.415:   [1, 52, 1],0, 0
13:40:49.415:   [1, 53, 1],1, 0
13:40:51.415:   [1, 53, 2],2, 0
13:40:52.454:   High
13:40:53.415:   [1, 53, 0],2, 1
13:40:54.782:   Low
13:40:55.416:   [0, 53, 0],0, 1
13:40:57.416:   [1, 53, 0],0, 0
13:40:59.416:   [1, 53, 1],2, 0
13:41:01.416:   [1, 53, 2],2, 0
13:41:02.183:   High
13:41:03.416:   [1, 53, 0],2, 1
13:41:05.416:   [1, 54, 0],1, 0
13:41:06.183:   Low
13:41:07.416:   [0, 54, 0],0, 1
13:41:09.416:   [0, 54, 1],2, 0
13:41:11.416:   [0, 54, 2],2, 0
13:41:12.654:   High
13:41:13.417:   [0, 54, 0],2, 1
13:41:15.417:   [0, 54, 1],2, 0
13:41:17.417:   [0, 55, 1],1, 0
13:41:19.417:   [0, 56, 1],1, 0
13:41:21.417:   [0, 57, 1],1, 0
13:41:23.417:   [0, 58, 1],1, 0
13:41:25.417:   [0, 59, 1],1, 0
13:41:27.417:   [0, 59, 2],2, 0
13:41:29.417:   [1, 59, 2],0, 0
13:41:31.418:   [1, 59, 3],2, 0
13:41:32.463:   Low
13:41:33.418:   [0, 59, 3],0, 1
13:41:35.418:   [0, 60, 3],1, 0
13:41:36.743:   High
13:41:37.418:   [0, 60, 0],2, -1
13:41:39.418:   [0, 60, 1],2, 0
