15:04:05.699
15:04:07.703:   [1, 0, 0],0, 0
15:04:09.705:   [1, 0, 1],2, 0
15:04:11.706:   [1, 0, 2],2, 0
15:04:13.708:   [1, 1, 2],1, 0
15:04:15.709:   [1, 1, 3],2, 0
15:04:17.710:   [1, 2, 3],1, 0
15:04:19.711:   [1, 3, 3],1, 0
15:04:21.712:   [1, 3, 4],2, 0
15:04:23.713:   [1, 4, 4],1, 0
15:04:25.714:   [1, 4, 5],2, 0
15:04:26.515:   Medium
15:04:27.715:   [1, 0, 5],1, 1
15:04:29.716:   [1, 1, 5],1, 0
15:04:31.718:   [1, 1, 6],2, 0
15:04:33.718:   [1, 2, 6],1, 0
15:04:35.718:   [1, 2, 7],2, 0
15:04:37.718:   [2, 2, 7],0, 0
15:04:39.719:   [3, 2, 7],0, 0
15:04:41.720:   [3, 3, 7],1, 0
15:04:43.720:   [4, 3, 7],0, 0
15:04:45.720:   [4, 4, 7],1, 0
15:04:47.720:   [4, 4, 8],2, 0
15:04:49.721:   [4, 4, 9],2, 0
15:04:51.721:   [4, 4, 10],2, 0
15:04:53.721:   [4, 4, 11],2, 0
15:04:55.721:   [5, 4, 11],0, 0
15:04:57.721:   [5, 4, 12],2, 0
15:04:59.721:   [5, 4, 13],2, 0
15:05:00.683:   Medium
15:05:01.721:   [5, 0, 13],1, 1
15:05:03.721:   [5, 0, 14],2, 0
15:05:05.721:   [5, 1, 14],1, 0
15:05:07.722:   [5, 2, 14],1, 0
15:05:09.722:   [6, 2, 14],0, 0
15:05:11.722:   [6, 2, 15],2, 0
15:05:13.722:   [6, 2, 16],2, 0
15:05:15.722:   [6, 2, 17],2, 0
15:05:17.722:   [6, 3, 17],1, 0
15:05:19.722:   [6, 3, 18],2, 0
15:05:21.722:   [7, 3, 18],0, 0
15:05:23.723:   [7, 3, 19],2, 0
15:05:25.723:   [7, 4, 19],1, 0
15:05:27.723:   [8, 4, 19],0, 0
15:05:29.723:   [9, 4, 19],0, 0
15:05:31.723:   [9, 4, 20],2, 0
15:05:33.723:   [9, 4, 21],2, 0
15:05:35.723:   [10, 4, 21],0, 0
15:05:37.723:   [10, 4, 22],2, 0
15:05:39.723:   [10, 4, 23],2, 0
15:05:40.539:   Medium
15:05:41.724:   [10, 0, 23],1, 1
15:05:43.724:   [11, 0, 23],0, 0
15:05:45.724:   [11, 0, 24],2, 0
15:05:47.724:   [12, 0, 24],0, 0
15:05:49.724:   [12, 1, 24],1, 0
15:05:51.724:   [13, 1, 24],0, 0
15:05:53.724:   [14, 1, 24],0, 0
15:05:55.724:   [14, 1, 25],2, 0
15:05:57.724:   [14, 1, 26],2, 0
15:05:59.725:   [15, 1, 26],0, 0
15:06:01.725:   [15, 1, 27],2, 0
15:06:03.725:   [15, 1, 28],2, 0
15:06:05.725:   [16, 1, 28],0, 0
15:06:07.725:   [16, 2, 28],1, 0
15:06:09.725:   [17, 2, 28],0, 0
15:06:11.725:   [18, 2, 28],0, 0
15:06:13.725:   [19, 2, 28],0, 0
15:06:15.725:   [19, 2, 29],2, 0
15:06:17.726:   [20, 2, 29],0, 0
15:06:19.726:   [20, 2, 30],2, 0
15:06:21.726:   [21, 2, 30],0, 0
15:06:23.726:   [22, 2, 30],0, 0
15:06:25.726:   [22, 3, 30],1, 0
15:06:27.726:   [23, 3, 30],0, 0
15:06:29.726:   [24, 3, 30],0, 0
15:06:31.726:   [25, 3, 30],0, 0
15:06:33.727:   [25, 3, 31],2, 0
15:06:35.727:   [26, 3, 31],0, 0
15:06:37.727:   [26, 4, 31],1, 0
15:06:39.727:   [26, 4, 32],2, 0
15:06:40.635:   Medium
15:06:41.727:   [26, 0, 32],1, 1
15:06:43.727:   [26, 0, 33],2, 0
15:06:45.727:   [27, 0, 33],0, 0
15:06:47.727:   [27, 0, 34],2, 0
15:06:49.727:   [28, 0, 34],0, 0
15:06:51.728:   [29, 0, 34],0, 0
15:06:53.728:   [29, 1, 34],1, 0
15:06:55.728:   [29, 2, 34],1, 0
15:06:57.728:   [29, 2, 35],2, 0
15:06:59.728:   [29, 2, 36],2, 0
15:07:01.728:   [29, 3, 36],1, 0
15:07:03.728:   [29, 3, 37],2, 0
15:07:04.619:   Medium
15:07:05.728:   [29, 0, 37],1, -1
15:07:07.728:   [29, 0, 38],2, 0
15:07:09.729:   [29, 0, 39],2, 0
15:07:11.729:   [30, 0, 39],0, 0
15:07:13.729:   [31, 0, 39],0, 0
15:07:15.729:   [31, 0, 40],2, 0
15:07:17.729:   [31, 0, 41],2, 0
15:07:19.729:   [31, 1, 41],1, 0
15:07:21.729:   [31, 1, 42],2, 0
15:07:23.729:   [31, 2, 42],1, 0
15:07:25.729:   [32, 2, 42],0, 0
15:07:27.730:   [33, 2, 42],0, 0
15:07:29.730:   [34, 2, 42],0, 0
15:07:31.730:   [35, 2, 42],0, 0
15:07:33.730:   [35, 3, 42],1, 0
15:07:35.730:   [36, 3, 42],0, 0
15:07:37.730:   [36, 4, 42],1, 0
15:07:39.730:   [36, 4, 43],2, 0
15:07:41.730:   [37, 4, 43],0, 0
15:07:43.731:   [38, 4, 43],0, 0
15:07:45.731:   [38, 4, 44],2, 0
15:07:47.731:   [38, 4, 45],2, 0
15:07:49.731:   [39, 4, 45],0, 0
15:07:51.731:   [39, 4, 46],2, 0
15:07:53.731:   [40, 4, 46],0, 0
15:07:55.731:   [40, 4, 47],2, 0
15:07:57.731:   [41, 4, 47],0, 0
15:07:58.731:   Medium
15:07:59.731:   [41, 0, 47],1, 1
15:08:01.732:   [42, 0, 47],0, 0
15:08:03.732:   [43, 0, 47],0, 0
15:08:05.732:   [43, 0, 48],2, 0
15:08:07.732:   [43, 1, 48],1, 0
15:08:09.732:   [43, 2, 48],1, 0
15:08:11.732:   [43, 3, 48],1, 0
15:08:13.732:   [43, 3, 49],2, 0
15:08:15.732:   [44, 3, 49],0, 0
15:08:17.732:   [45, 3, 49],0, 0
15:08:19.733:   [45, 3, 50],2, 0
15:08:21.733:   [45, 3, 51],2, 0
15:08:23.733:   [45, 4, 51],1, 0
15:08:24.588:   Medium
15:08:25.733:   [45, 0, 51],1, 1
15:08:27.733:   [46, 0, 51],0, 0
15:08:29.733:   [46, 0, 52],2, 0
15:08:31.733:   [46, 1, 52],1, 0
15:08:33.733:   [46, 2, 52],1, 0
15:08:35.733:   [46, 2, 53],2, 0
15:08:37.734:   [46, 3, 53],1, 0
15:08:39.734:   [47, 3, 53],0, 0
15:08:41.734:   [48, 3, 53],0, 0
15:08:43.734:   [49, 3, 53],0, 0
15:08:45.734:   [49, 3, 54],2, 0
15:08:47.734:   [49, 3, 55],2, 0
15:08:49.734:   [49, 3, 56],2, 0
15:08:51.734:   [49, 4, 56],1, 0
15:08:52.771:   Medium
15:08:53.735:   [49, 0, 56],1, 1
15:08:55.735:   [50, 0, 56],0, 0
15:08:57.735:   [50, 0, 57],2, 0
15:08:59.735:   [50, 0, 58],2, 0
15:09:01.735:   [51, 0, 58],0, 0
15:09:03.735:   [52, 0, 58],0, 0
15:09:05.735:   [52, 0, 59],2, 0
15:09:07.735:   [52, 1, 59],1, 0
15:09:09.735:   [53, 1, 59],0, 0
15:09:11.736:   [53, 2, 59],1, 0
15:09:13.736:   [54, 2, 59],0, 0
15:09:15.736:   [54, 3, 59],1, 0
15:09:17.736:   [54, 3, 60],2, 0
15:09:19.736:   [54, 4, 60],1, 0
15:09:21.736:   [54, 4, 61],2, 0
15:09:23.736:   [55, 4, 61],0, 0
15:09:25.736:   [56, 4, 61],0, 0
15:09:27.736:   [57, 4, 61],0, 0
15:09:28.620:   Medium
15:09:29.737:   [57, 0, 61],1, 1
15:09:31.737:   [57, 0, 62],2, 0
15:09:33.737:   [58, 0, 62],0, 0
15:09:35.737:   [58, 0, 63],2, 0
15:09:37.737:   [58, 1, 63],1, 0
15:09:39.737:   [58, 1, 64],2, 0
15:09:41.737:   [59, 1, 64],0, 0
15:09:43.737:   [60, 1, 64],0, 0
15:09:45.737:   [61, 1, 64],0, 0
15:09:47.738:   [61, 2, 64],1, 0
15:09:49.738:   [61, 2, 65],2, 0
15:09:51.738:   [61, 2, 66],2, 0
15:09:53.738:   [61, 2, 67],2, 0
15:09:55.738:   [61, 2, 68],2, 0
15:09:57.738:   [62, 2, 68],0, 0
15:09:58.539:   Medium
15:09:59.738:   [63, 0, 68],0, -1
15:10:01.738:   [63, 0, 69],2, 0
15:10:03.739:   [64, 0, 69],0, 0
15:10:05.739:   [64, 1, 69],1, 0
15:10:07.739:   [64, 2, 69],1, 0
15:10:09.739:   [64, 2, 70],2, 0
15:10:11.739:   [65, 2, 70],0, 0
15:10:13.739:   [65, 3, 70],1, 0
15:10:15.739:   [65, 4, 70],1, 0
15:10:17.739:   [66, 4, 70],0, 0
15:10:18.603:   Medium
15:10:19.739:   [66, 0, 70],1, 1
15:10:21.740:   [67, 0, 70],0, 0
15:10:23.740:   [67, 0, 71],2, 0
15:10:25.740:   [68, 0, 71],0, 0
15:10:27.740:   [69, 0, 71],0, 0
15:10:29.740:   [69, 0, 72],2, 0
15:10:31.740:   [70, 0, 72],0, 0
15:10:33.740:   [70, 0, 73],2, 0
15:10:35.740:   [71, 0, 73],0, 0
15:10:37.740:   [72, 0, 73],0, 0
15:10:39.741:   [72, 1, 73],1, 0
15:10:41.741:   [72, 1, 74],2, 0
15:10:43.741:   [72, 1, 75],2, 0
15:10:45.741:   [72, 2, 75],1, 0
15:10:47.741:   [73, 2, 75],0, 0
15:10:49.741:   [74, 2, 75],0, 0
15:10:51.741:   [74, 3, 75],1, 0
15:10:53.741:   [75, 3, 75],0, 0
15:10:55.741:   [75, 4, 75],1, 0
15:10:57.742:   [75, 4, 76],2, 0
15:10:59.742:   [76, 4, 76],0, 0
15:11:01.742:   [77, 4, 76],0, 0
15:11:02.571:   Medium
15:11:03.742:   [77, 0, 76],1, 1
15:11:05.742:   [77, 0, 77],2, 0
15:11:07.742:   [77, 0, 78],2, 0
15:11:09.742:   [77, 0, 79],2, 0
15:11:11.742:   [77, 1, 79],1, 0
15:11:13.743:   [78, 1, 79],0, 0
